OID_,bouguer,X,Y,mag,bedmachine,roughness,beta,water,reflectivity
233,6,-586839.412989922566339,-935733.373655592324212,,,,,,
234,2,-576861.426917636301368,-935733.373655592324212,,,,,0.0000000,
235,3,-566883.440845350036398,-935733.373655592324212,,,,,,
236,6,-556905.454773063771427,-935733.373655592324212,,,,,,
237,12,-546927.468700777506456,-935733.373655592324212,,,,,,
238,7,-536949.482628491241485,-935733.373655592324212,,,,,0.0030515,
239,6,-526971.496556204976514,-935733.373655592324212,,,,,,
240,3,-516993.510483918711543,-935733.373655592324212,,,,,,
241,3,-507015.524411632446572,-935733.373655592324212,,,,,,
242,4,-497037.538339346181601,-935733.373655592324212,,,,,,
243,6,-487059.552267059916630,-935733.373655592324212,,,,,,
244,2,-477081.566194773651659,-935733.373655592324212,,,,,,
245,-2,-467103.580122487386689,-935733.373655592324212,,,,,,
246,-6,-457125.594050201121718,-935733.373655592324212,,,,,,
247,-8,-447147.607977914856747,-935733.373655592324212,,,,,,
248,-10,-437169.621905628591776,-935733.373655592324212,,,,,,
249,-9,-427191.635833342093974,-935733.373655592324212,,,,,,
250,-7,-417213.649761055829003,-935733.373655592324212,,,,,,
251,-4,-407235.663688769564033,-935733.373655592324212,,,,,,
252,-1,-397257.677616483299062,-935733.373655592324212,,,,,,
253,1,-387279.691544197034091,-935733.373655592324212,,,,,,
254,5,-377301.705471910769120,-935733.373655592324212,,,,,,
255,7,-367323.719399624504149,-935733.373655592324212,,,,,,
256,8,-357345.733327338239178,-935733.373655592324212,,,,,,
257,9,-347367.747255051974207,-935733.373655592324212,,,,,,
258,11,-337389.761182765709236,-935733.373655592324212,,,,,,
259,11,-327411.775110479444265,-935733.373655592324212,,,,,,
260,10,-317433.789038193179294,-935733.373655592324212,,,,,,
261,8,-307455.802965906914324,-935733.373655592324212,,,,,,
262,6,-297477.816893620649353,-935733.373655592324212,,,,,,
263,3,-287499.830821334384382,-935733.373655592324212,,,,,,
264,1,-277521.844749048119411,-935733.373655592324212,,,,,,
265,-13,-596817.399062208831310,-945711.359727878589183,,,,,0.0031689,
266,0,-586839.412989922566339,-945711.359727878589183,,,,,,
267,4,-576861.426917636301368,-945711.359727878589183,,,,,,
268,3,-566883.440845350036398,-945711.359727878589183,,,,,,
269,1,-556905.454773063771427,-945711.359727878589183,,,,,,
270,9,-546927.468700777506456,-945711.359727878589183,,,,,,
271,11,-536949.482628491241485,-945711.359727878589183,,,,,,
272,7,-526971.496556204976514,-945711.359727878589183,,,,,,
273,3,-516993.510483918711543,-945711.359727878589183,,,,,,
274,2,-507015.524411632446572,-945711.359727878589183,,,,,,
275,2,-497037.538339346181601,-945711.359727878589183,,,,,,
276,3,-487059.552267059916630,-945711.359727878589183,,,,,,
277,0,-477081.566194773651659,-945711.359727878589183,,,,,,
